PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;b;2002;REGIAO SUDESTE;ESPIRITO SANTO;729416,6861;668436,9781;728649,3293;709201,2367;699741,3625;794522,5094;758821,5478;798176,889;746141,2909;771520,6742;761331,182;817606,1121;8983565,798
TERRA;b;2003;REGIAO NORTE;AMAZONAS;1310645,449;1208341,689;1325520,849;1264956,269;1177685,155;1229098,062;1261301,889;1327363,764;1336106,599;1339131,998;1300487,405;1329194,098;15409833,23
TERRA;b;2003;REGIAO NORDESTE;CEARA;70615,69687;73131,62087;83912,35521;84107,33932;80553,59667;95730,9082;90038,63015;88925,33378;87585,60425;80031,54244;78037,67267;84038,15141;996708,4518
TERRA;b;2003;REGIAO NORDESTE;RIO GRANDE DO NORTE;2022651,941;1897138,782;2081172,333;1969886,724;2072857,204;2029816,034;2017192,385;2133258,249;2003549,788;2171097,746;2064743,349;2194797,75;24658162,29
TERRA;b;2003;REGIAO NORDESTE;ALAGOAS;216853,7794;208232,4626;225127,5212;199279,1697;190662,5073;172737,3665;202750,5158;259228,7325;244686,1886;239319,7856;211116,0889;215893,7028;2585887,821
TERRA;b;2003;REGIAO NORDESTE;SERGIPE;871138,685;807611,604;876560,5012;886863,21;945987,424;899128,3395;932590,1287;955107,6485;901644,2635;935860,8299;900700,792;926992,1978;10840185,62
TERRA;b;2003;REGIAO NORDESTE;BAHIA;1369935,714;1226239,406;1356441,933;1319488,104;1348610,868;1250109,55;1343991,379;1380995,653;1326368,716;1406287,922;1337867,62;1397983,8;16064320,66
TERRA;b;2003;REGIAO SUDESTE;ESPIRITO SANTO;813851,0955;780131,4241;842897,4381;793931,2673;809385,3304;776992,8089;768583,333;729643,1192;731265,8902;744826,7206;694168,5908;697445,5819;9183122,6
TERRA;b;2004;REGIAO NORTE;AMAZONAS;1322709,304;1243954,593;1343478,257;1290329,362;1310406,436;1276523,229;1314293,538;1322388,524;1270013,276;1298053,249;1261496,873;1287222,196;15540868,84
TERRA;b;2004;REGIAO NORDESTE;CEARA;84019,28198;80427,80047;80408,93104;81339,82292;40600,72355;41066,16949;72112,67165;66866,97011;66244,27892;73980,74522;64873,10034;53683,52835;805624,024
TERRA;b;2004;REGIAO NORDESTE;RIO GRANDE DO NORTE;2198540,187;1949595,797;2105746,62;2014311,653;2133899,81;2054635,624;2105117,639;2094802,351;1970572,314;2110709,281;1989888,32;2046100,352;24773919,95
TERRA;b;2004;REGIAO NORDESTE;ALAGOAS;197028,2983;181374,1562;197053,4575;188392,3891;210664,2918;224043,0322;237358,56;223195,4803;207097,5922;203160,2969;204341,8377;203166,5238;2476875,916
TERRA;b;2004;REGIAO NORDESTE;SERGIPE;904789,1685;872082,1565;956176,9162;926929,2997;968548,9725;969291,1701;1005268,883;1007124,377;959510,5155;977688,0664;931835,3515;953289,8934;11432534,77
TERRA;b;2004;REGIAO NORDESTE;BAHIA;1343635,502;1263849,891;1353409,867;1330150,149;1350317,545;1316004,367;1421836,71;1423924,046;1370536,013;1432974,391;1362557,641;1354818,721;16324014,84
TERRA;b;2004;REGIAO SUDESTE;ESPIRITO SANTO;679261,7411;639378,0559;671713,9691;618068,1797;631767,3858;601381,3137;507845,5492;610646,2039;576869,9242;586581,3908;574750,2582;579845,0043;7278108,976
TERRA;b;2005;REGIAO NORTE;AMAZONAS;1273221,079;1105132,197;1238966,774;1234714,862;1266000,377;1202058,169;1265295,918;1255496,394;1181893,038;1211964,619;1105440,397;1035717,853;14375901,68
TERRA;b;2005;REGIAO NORDESTE;CEARA;54262,19087;33946,10457;53589,1812;53167,76393;56526,52247;42506,53598;49330,97983;53123,73526;48431,537;49834,16463;49481,93527;48425,24719;592625,8982
TERRA;b;2005;REGIAO NORDESTE;RIO GRANDE DO NORTE;1969301,772;1810641,315;1943098,424;1886597,06;1960716,181;1937154,553;2026331,479;1984038,797;1869790,688;1924379,949;1855342,995;1863827,948;23031221,16
